Name,Nodes,Features,Configs,PresentConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_1.cfg,241,2,4,2,shallow,2.66E-05,2.66E-05,2.67E-05,2.81E-07,2.31E-07,3.38E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_1.cfg,241,2,4,2,deep,3.36E-04,3.33E-04,3.41E-04,1.31E-05,9.87E-06,1.74E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_1o.cfg,241,2,4,2,brute-force,6.14E-05,6.11E-05,6.17E-05,9.99E-07,7.91E-07,1.42E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_1o.cfg,241,2,4,2,shallow,2.68E-05,2.67E-05,2.70E-05,4.48E-07,3.62E-07,5.64E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_1o.cfg,241,2,4,2,deep,3.40E-04,3.35E-04,3.46E-04,1.76E-05,1.24E-05,2.47E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_9x.cfg,518,2,4,2,brute-force,1.33E-04,1.32E-04,1.34E-04,3.24E-06,1.99E-06,5.90E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_9x.cfg,518,2,4,2,shallow,6.09E-05,6.06E-05,6.15E-05,1.35E-06,9.07E-07,2.29E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_9x.cfg,518,2,4,2,deep,7.06E-04,7.04E-04,7.10E-04,8.53E-06,6.12E-06,1.36E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_d.cfg,265,2,4,2,brute-force,6.84E-05,6.80E-05,6.88E-05,1.34E-06,1.12E-06,1.71E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_d.cfg,265,2,4,2,shallow,3.07E-05,3.03E-05,3.18E-05,1.88E-06,9.56E-07,3.48E-06
