Name,Nodes,Features,Configs,EffectiveConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.18.5/libbb/xfunc_die.cfg,102,1,2,2,/shallow,9.964664453738583e-6,9.923318331024687e-6,1.005881557353977e-5,2.0077992395164336e-7,1.1229837455126231e-7,3.6149878934920405e-7
/mnt/f/code/busybox-1.18.5/libbb/xfunc_die.cfg,102,1,2,2,/deep,1.224520469801721e-4,1.2216753298326482e-4,1.2297816844064968e-4,1.2473555666651198e-6,8.962938147103308e-7,1.971386420120268e-6
/mnt/f/code/busybox-1.18.5/libbb/xgetcwd.cfg,110,0,0,1,/brute-force,9.458239092764919e-9,9.354900830978427e-9,9.593351707966295e-9,4.1843224687722337e-10,3.1394977997611944e-10,5.738185361318791e-10
/mnt/f/code/busybox-1.18.5/libbb/xgetcwd.cfg,110,0,0,1,/shallow,5.695712700412469e-6,5.643760302031833e-6,5.8229428903434525e-6,2.576211558359091e-7,9.310343453107332e-8,5.208288608761042e-7
/mnt/f/code/busybox-1.18.5/libbb/xgetcwd.cfg,110,0,0,1,/deep,2.959663701527628e-4,2.9417151038834614e-4,3.001148957425035e-4,8.698834587131025e-6,4.104614401578576e-6,1.6221254057676446e-5
/mnt/f/code/busybox-1.18.5/libbb/xgethostbyname.cfg,96,0,0,1,/brute-force,9.50235005337489e-9,9.396480511944431e-9,9.627519431902802e-9,3.845294730695503e-10,3.22932608595551e-10,4.760833042016809e-10
/mnt/f/code/busybox-1.18.5/libbb/xgethostbyname.cfg,96,0,0,1,/shallow,4.608948139327276e-6,4.585101006922961e-6,4.648883920577102e-6,1.0998646173482601e-7,5.224645769946906e-8,1.676870417815269e-7
/mnt/f/code/busybox-1.18.5/libbb/xgethostbyname.cfg,96,0,0,1,/deep,1.2553410961645725e-4,1.2479584246625404e-4,1.263889355310314e-4,2.7272126463506816e-6,2.068003799000095e-6,3.5223755702230306e-6
/mnt/f/code/busybox-1.18.5/libbb/xreadlink.cfg,152,0,0,1,/brute-force,9.284847057276157e-9,9.129555127176419e-9,9.6852847860852e-9,7.515836616986925e-10,2.2182026969007613e-10,1.3596312986480628e-9
/mnt/f/code/busybox-1.18.5/libbb/xreadlink.cfg,152,0,0,1,/shallow,1.0331556730028115e-5,1.0270091963144563e-5,1.039013187213674e-5,1.9971595176541997e-7,1.6024292409752727e-7,2.4760185168209394e-7
/mnt/f/code/busybox-1.18.5/libbb/xreadlink.cfg,152,0,0,1,/deep,8.564104705061676e-4,8.493142925293323e-4,8.661318567014252e-4,2.8177623239423948e-5,2.042492643755761e-5,4.0224459573219574e-5
/mnt/f/code/busybox-1.18.5/libbb/xrealloc_vector.cfg,98,0,0,1,/brute-force,9.307668522172705e-9,9.254585389394262e-9,9.360595296212003e-9,1.751663539899009e-10,1.4695003637422963e-10,2.1766231370192516e-10
/mnt/f/code/busybox-1.18.5/libbb/xrealloc_vector.cfg,98,0,0,1,/shallow,4.616527210478952e-6,4.605145327492487e-6,4.630114601125616e-6,4.088475727313242e-8,3.2288966409714516e-8,5.5751389373843916e-8
/mnt/f/code/busybox-1.18.5/libbb/xrealloc_vector.cfg,98,0,0,1,/deep,1.486765466623587e-4,1.481632612562405e-4,1.4913812378776462e-4,1.6612826368818413e-6,1.3938974494897215e-6,2.0041581023762254e-6
/mnt/f/code/busybox-1.18.5/libbb/xregcomp.cfg,105,0,0,1,/brute-force,9.078599246135422e-9,9.0319269161359e-9,9.16313211155325e-9,1.919481319985888e-10,1.1913195012990278e-10,2.854293028694838e-10
/mnt/f/code/busybox-1.18.5/libbb/xregcomp.cfg,105,0,0,1,/shallow,5.232063414185609e-6,5.20830268776818e-6,5.289094208185529e-6,1.1213482721872331e-7,6.044832776148433e-8,1.896635727556973e-7
/mnt/f/code/busybox-1.18.5/libbb/xregcomp.cfg,105,0,0,1,/deep,1.6833194881108149e-4,1.67460971800119e-4,1.6929997198253372e-4,3.019227518848957e-6,2.299129969265789e-6,4.2536994904792395e-6
/mnt/f/code/busybox-1.18.5/libpwdgrp/pwd_grp.cfg,606,3,8,6,/brute-force,5.057126648104404e-4,5.028551637383641e-4,5.093615376930959e-4,1.1657999652711373e-5,8.593866500871754e-6,1.5874295565306758e-5
/mnt/f/code/busybox-1.18.5/libpwdgrp/pwd_grp.cfg,606,3,8,6,/shallow,3.727891855856991e-4,3.709597440545374e-4,3.7585235472906815e-4,7.912231805689762e-6,5.826575607757268e-6,1.0553375015735615e-5
/mnt/f/code/busybox-1.18.5/libpwdgrp/pwd_grp.cfg,606,3,8,6,/deep,9.18845650710963e-3,9.141753446115784e-3,9.243349981696599e-3,1.4134086263644275e-4,1.0915742607767698e-4,2.1180840445906963e-4
/mnt/f/code/busybox-1.18.5/libpwdgrp/uidgid_get.cfg,153,1,2,2,/brute-force,2.342986864809872e-5,2.3306340659936966e-5,2.3595841951336504e-5,4.850070223970169e-7,3.808606711946871e-7,6.292861565949813e-7
/mnt/f/code/busybox-1.18.5/libpwdgrp/uidgid_get.cfg,153,1,2,2,/shallow,2.068254731426745e-5,2.0571302443817363e-5,2.0846274030054118e-5,4.427989949357318e-7,2.5893580532577394e-7,6.762923328047291e-7
/mnt/f/code/busybox-1.18.5/libpwdgrp/uidgid_get.cfg,153,1,2,2,/deep,1.0678493982549287e-2,1.0631423007765753e-2,1.0746744401748358e-2,1.503751082132195e-4,9.330105972532376e-5,2.2790604020359547e-4
/mnt/f/code/busybox-1.18.5/loginutils/add-remove-shell.cfg,117,1,2,2,/brute-force,1.5698064603215045e-5,1.550749219709645e-5,1.595260747244849e-5,7.638639618753945e-7,5.413974738230264e-7,1.0823417514286856e-6
